,mean,std
3288,3.5,0.258331054
3289,7.571428571,0.50630834
3290,4.545454545,0.795433432
3291,1.5,0.055713388
3292,1.363636364,0.080352825
3293,3,0.245805386
3294,2.458333333,0.272142099
3295,2,0.136424189
3296,2.5,0.185438178
3297,3.625,0.230241628
3298,3.24,0.40744482
3299,2.2,0.089536265
3300,4.142857143,0.22569953
3301,1.75,0.062287309
3302,2.02173913,0.396973102
3303,1.727272727,0.102904429
3304,6.666666667,0.275825757
3305,1.833333333,0.12240018
3306,3.8125,0.43768765
3307,2.0625,0.178234572
3308,2.25,0.083570082
3309,1.818181818,0.11134977
3310,2.6,0.110251462
3311,1.733333333,0.152488213
3312,7,0.46553163
3313,1,0.027856694
3314,2,0.113673201
3315,12.57142857,0.865538837
3316,3.6,0.321651394
3317,1,0.045460319
3318,2.777777778,0.209060995
3319,1,0.035953519
3320,2.3125,0.176723137
3321,2,0.085097306
3322,1.8,0.070093004
3323,6.555555556,0.560614952
3324,1.333333333,0.039397015
3325,1.875,0.102948702
3326,1.8,0.086612302
3327,2.222222222,0.143814077
3328,1.8,0.086612302
3329,2.333333333,0.073708249
3330,1.25,0.042548653
3331,1,0.027856694
3332,3,0.179842134
3333,1.833333333,0.163065138
3334,1,0.027856694
3335,3.222222222,0.211488747
3336,1.416666667,0.0865318
3337,1.333333333,0.060165086
3338,1.25,0.042548653
3339,1.5,0.081980916
3340,2.333333333,0.182514783
3341,2.5,0.057996421
3342,5.166666667,0.352775038
3343,4.428571429,0.360038263
3344,1.333333333,0.068190478
3345,1.285714286,0.062270094
3346,6.5,0.341997379
3347,1.25,0.060145034
3348,1,0.027856694
3349,2.166666667,0.168611916
3350,1,0.022747841
3351,3.125,0.201494679
3352,3.4,0.197659871
3353,1.333333333,0.039397015
3354,5.25,0.389329378
3355,3.5,0.08662468
3356,3,0.154252959
3357,1.777777778,0.099094699
3358,5.3,0.445378618
3359,1.761904762,0.156526505
3360,5.25,0.372335946
3361,3.888888889,0.608153155
3362,3,0.071936854
3363,2.578947368,0.258622199
3364,3.923076923,0.344449231
3365,2.5,0.182624897
3366,1.875,0.105433237
3367,3.684210526,0.354962437
3368,3,0.1663839
3369,3.214285714,0.259669734
3370,1.909090909,0.158368134
3371,7.714285714,0.466103179
3372,1.666666667,0.092344496
3373,3.222222222,0.442128255
3374,1.75,0.062287309
3375,2.105263158,0.172977619
3376,4.428571429,0.29349282
3377,2.666666667,0.233009173
3378,5.5,0.328442104
3379,1.7,0.107840675
3380,2.166666667,0.110251462
3381,2,0.081998897
3382,2.454545455,0.149908322
3383,1.666666667,0.075421181
3384,2.833333333,0.553886252
3385,1.142857143,0.050836728
3386,1.857142857,0.177584831
3387,1.9,0.121372074
3388,3.6,0.145620444
3389,3.705882353,0.539865622
3390,4.260869565,0.703438883
3391,1.4,0.057982554
3392,1.166666667,0.048233929
3393,1.25,0.042548653
3394,1.714285714,0.093764599
3395,1.9,0.11251778
3396,3.7,0.344569052
3397,3.3,0.218671592
3398,2.6,0.125616524
3399,13.66666667,0.464244407
3400,2.5625,0.218580864
3401,2.555555556,0.309255048
3402,2,0.111393092
3403,1,0.027856694
3404,1.5,0.075401631
3405,1.555555556,0.088050274
3406,2.333333333,0.109062869
3407,2,0.128588495
3408,1.666666667,0.078778721
3409,2,0.140125765
3410,2.166666667,0.097809627
3411,1.2,0.045480951
3412,1.5,0.073693701
3413,2.625,0.156725026
3414,2.6,0.198757638
3415,1.2,0.045480951
3416,2.333333333,0.166340397
3417,1.857142857,0.163941396
3418,1.666666667,0.078778721
3419,1.8,0.086612302
3420,1.5,0.102878378
3421,1.333333333,0.039397015
3422,1.666666667,0.078778721
3423,2.294117647,0.23459874
3424,2.8,0.128663516
3425,2.666666667,0.099159596
3426,1.714285714,0.078760004
3427,4.944444444,0.539160122
3428,1.333333333,0.055696546
3429,1.9,0.167905393
3430,2.375,0.137379179
3431,3.03030303,0.47658379
3432,3.1,0.210242042
3433,3.375,0.216346769
3434,1.545454545,0.097768511
3435,2.25,0.124540187
3436,3.4,0.220429975
3437,3.642857143,0.343696873
3438,6.6,0.269570801
3439,3.733333333,0.330982032
3440,1.4,0.053331457
3441,8.785714286,1.01338232
3442,2.636363636,0.267674375
3443,4.125,0.230205535
3444,1.777777778,0.101673456
3445,3.1,0.334024836
3446,1.333333333,0.039397015
3447,3.666666667,0.426138844
3448,2.333333333,0.131584501
3449,4.615384615,0.335595599
3450,1.142857143,0.050836728
3451,1.181818182,0.066252546
3452,1.571428571,0.08039618
3453,2.941176471,0.308375129
3454,1.5,0.066297035
3455,1.3,0.07365368
3456,1.5625,0.137314776
3457,1.571428571,0.073675512
3458,3,0.086612302
3459,1,0.048211695
3460,1.285714286,0.05796406
3461,1.6,0.093724568
3462,2.9375,0.261632386
3463,2.071428571,0.189541658
3464,1.764705882,0.152438986
3465,2.75,0.119287597
3466,1.285714286,0.05796406
3467,1.333333333,0.039397015
3468,2.142857143,0.125601586
3469,2.789473684,0.236613022
3470,1.333333333,0.060165086
3471,2.3,0.141057597
3472,1.5,0.035968427
3473,4,0.186175352
3474,1,0.032161973
3475,4.464788732,0.956331923
3476,2.875,0.18405439
3477,1.333333333,0.071886533
3478,4.230769231,0.381495663
3479,1.363636364,0.080352825
3480,2.666666667,0.088100489
3481,2.142857143,0.105433237
3482,1.5,0.035968427
3483,2.473684211,0.225496355
3484,1,0.032161973
3485,5.625,0.428856789
3486,3,0.095157175
3487,1.2,0.045480951
3488,2.882352941,0.287984625
3489,1.6,0.060165086
3490,5.333333333,0.15258047
3491,3,0.122493216
3492,4.2,0.260868261
3493,2,0.101724852
3494,1.444444444,0.077088241
3495,1.8,0.086612302
3496,6.5,1.025585215
3497,1.285714286,0.062270094
3498,3.470588235,0.347357499
3499,2.625,0.161604241
3500,2,0.032174472
3501,1.2,0.068190478
3502,1.777777778,0.099094699
3503,2,0.115947771
3504,1,0.039380002
3505,3.0625,0.345968409
3506,5,0.457161167
3507,1,0.039380002
3508,1.333333333,0.055696546
3509,1.769230769,0.121325687
3510,1.444444444,0.080376173
3511,1.857142857,0.089518301
3512,5.090909091,0.429071744
3513,1,0.027856694
3514,1.6,0.088027439
3515,2.837837838,0.496987039
3516,1.611111111,0.140983467
3517,4,0.130673323
3518,2.852941176,0.387670558
3519,3.666666667,0.300235877
3520,2,0.085111479
3521,2.4,0.111426775
3522,13.33333333,0.444014414
3523,1.727272727,0.105390009
3524,1.714285714,0.081980916
3525,5.615384615,0.663695695
3526,2.444444444,0.188920876
3527,5.142857143,0.439348737
3528,3.727272727,0.271411515
3529,1,0.053286203
3530,3.222222222,0.219890009
3531,1,0.035953519
3532,4.75,0.219963137
3533,7.833333333,0.716239037
3534,2.25,0.089551232
3535,3.2,0.132611253
